,Папка,Image,Предсказанный класс,Вероятность предсказания
0,other/,cfac0a78-339e-4f6e-ae0d-0729890c776e.jpg,other,100.0
1,other/,7bcb3d1f-1f94-4443-a6b5-84c16aaa1b3b.jpg,other,100.0
2,other/,193df100-3b3a-44f8-ad6f-17f7ad929e11.png,other,100.0
3,other/,3e74f4fe-15a5-4ed6-b963-c692b73a4a2c.png,other,100.0
4,other/,4696f228-145b-4b89-b71c-79fe4004b138.jpg,other,100.0
5,other/,d4e3363c-a73e-4626-a1fb-b248477e9ecf.png,other,100.0
6,other/,ee6cf90a-2916-4a2c-ab17-524e69f30265.jpg,other,100.0
7,other/,b27464a1-1c02-4d0b-9a8c-cf96e4a8330b.jpg,other,100.0
8,other/,1ff1853a-56c5-4dba-bf6a-2a72ca7607f7.jpg,other,100.0
9,other/,a17ad1e8-c39a-4c03-b91b-7349af5ee2d4.jpg,other,100.0
10,other/,94db1852-ed5f-476f-b658-19078e693714.png,other,100.0
11,other/,2cc03418-180c-48f7-afa7-cb9e43ac322a.jpg,other,100.0
12,other/,fba902b8-7bc3-4078-aa48-fbd64e004de3.jpg,other,100.0
13,other/,77cfc878-05c4-48c2-972e-ca56ae97aa14.png,other,100.0
14,other/,262f4095-b424-4b72-9136-6f7774e266c2.jpg,other,100.0
15,other/,3eca9407-0ee8-4f92-bc91-94552f4a59b8.jpg,other,99.99
16,other/,a1565966-5d12-4a7a-8c92-ae882be6ef7b.jpg,other,100.0
17,other/,d613c66d-81e3-4849-a0af-f532f49f7757.png,other,99.93
18,other/,23bbd87f-fdd7-49c0-8310-702e1dd4df67.png,other,100.0
19,other/,a28f2f72-0792-47dc-a00d-33913b49b229.jpg,other,99.99
20,other/,0124479c-a4f9-48e9-aa82-3b96114230dc.png,other,100.0
21,other/,2b155a29-1552-4d22-8e05-1cede73a66ca.jpg,other,100.0
22,other/,1a49c1ae-478a-41c3-bbd9-401f90b37cac.png,other,99.99
23,other/,e0fd5396-81da-48c7-ace1-714ae8bb37b4.jpg,other,100.0
24,other/,6453a234-a4f9-43b6-880a-2be92fd06639.jpg,other,100.0
25,other/,1471b2f3-0c77-4ee4-8c37-a4d9f6fb5b42.png,other,100.0
26,other/,71ed81fb-49be-486f-aa4c-50a11b6e8545.png,other,99.97
27,other/,20208461-39b0-4634-8e0a-e9772e0e1cec.png,other,100.0
28,other/,23ce1112-a7a9-4fbf-a930-e13f25e207a9.jpg,other,100.0
29,other/,2a42ebd3-a798-4d70-b4ea-9eec7156299b.jpg,other,100.0
30,other/,c2ed64ff-f839-4b68-bb37-36c1542a2a61.jpg,other,100.0
31,other/,0c290617-fef7-4c4b-9b04-ff6854fde0e9.png,other,100.0
32,other/,2f974c82-aa9c-4900-8189-34438df7b5ef.jpg,other,100.0
33,other/,fd79e003-2e67-4697-9e02-b62cdbff387e.png,other,100.0
34,other/,03504344-fe3e-43d0-a64f-4f8d8aba0300.jpg,other,100.0
35,other/,501ed5a3-9407-44bf-a24d-37c40a403656.png,other,100.0
36,other/,e944a505-6462-4aaa-a177-3e202149c481.png,other,99.98
37,other/,5a513742-6c5f-4710-936e-3e9d7006930f.jpg,other,99.97
38,other/,6fb55c25-6825-49ac-82f9-1f206be58bf0.jpg,other,100.0
39,other/,e34d242b-24c3-4baf-9191-d9aa0528169e.jpg,other,100.0
40,other/,5320124c-dfe5-48c1-b54e-af16dd628fc6.jpg,other,100.0
41,other/,1774c78a-21f1-45e0-9123-58557f760ffc.jpg,other,100.0
42,other/,eae4d287-0f74-4787-8c35-a1048eadeb9b.png,other,100.0
43,other/,8058a72e-9c98-4f44-97a0-1171e4e1f912.jpg,other,100.0
44,other/,5c7a00d0-23ff-45cb-a461-002b522d61a1.jpg,other,100.0
45,other/,8575bf00-cc5c-487a-86d5-88127e135ab9.jpg,other,100.0
46,other/,303b1500-b7b4-4ec7-81d7-caac46ef2dee.jpg,other,100.0
47,other/,0baf0770-c1fa-4cd1-9fc7-e91936e3e66b.png,other,100.0
48,other/,ec53a761-fcbd-4e95-ad8d-0c1ab5ac74b8.png,other,100.0
49,other/,541c8c19-5481-4e9b-a339-7cec5387e119.jpg,other,100.0
50,other/,097cf1bd-e7d0-466e-8d65-d92ce4dffb0d.png,other,100.0
51,other/,2735e4d9-428b-4cc6-b32a-0d7fe6f6fb8e.png,other,99.97
52,other/,d3f82808-ad81-4ec8-98f2-901c08563db9.png,other,100.0
53,other/,1377a919-3ac7-4458-8dbc-10b17bc152b7.jpg,other,100.0
54,other/,84e3760d-da69-43ee-869a-1a441815cc5e.png,other,97.54
55,other/,cdcd21ef-29e5-4f66-a595-14dafe2b70d3.jpg,other,100.0
56,other/,f7fcb093-fed7-4da4-a79e-121895a07116.jpg,other,100.0
57,other/,6ac9afb1-8243-4268-8a41-b4c2ed7af5d7.png,other,99.96
58,other/,da9681e9-4cd9-478c-8adb-6fe586578201.png,other,100.0
59,other/,b5779277-d785-4352-9c79-6630b8f24ccf.jpg,other,100.0
60,other/,2f5b78e6-d092-40b9-a201-f9a920de4a4b.jpg,other,100.0
61,other/,58ac74ce-e1a6-422b-85eb-8891fc50bf2f.png,other,99.99
62,other/,24913580-114e-4b6b-b771-3049868f2e6a.jpg,other,100.0
63,other/,6f38b215-3607-40be-9d4f-d25962d08010.jpg,other,100.0
64,other/,86b6bc61-9144-42d1-bf06-0d5c40f4db57.jpg,other,100.0
65,other/,813c39d1-9549-4c51-94c5-f1f9dfcff9a3.png,other,100.0
66,other/,1df74e0a-3a12-4377-b69d-9e3553222ded.png,other,100.0
67,other/,76236ca8-b67e-4404-bcbd-4d94cf60c1e3.png,other,100.0
68,other/,c93d3a72-6740-4abc-ba41-69d12097a179.png,other,100.0
69,other/,aa97ddda-bf18-4d08-b919-18d95d4f1806.png,other,100.0
70,other/,77bf4f2b-2817-41d3-a4cd-55affd0bf95d.png,other,100.0
71,other/,fdddc115-c133-4ec7-99b1-0efe851a561f.png,other,99.99
72,other/,574afc43-8ed8-469f-bac7-75012361cafc.png,other,100.0
73,other/,bc5b30c3-fd1f-40c4-9dbf-797365bfd9a6.png,other,100.0
74,other/,8eb992fc-19ab-4410-a453-8ba68c27b755.jpg,other,100.0
75,other/,6f749f24-d952-428c-8861-387d5d3778ef.png,other,100.0
76,other/,6675d446-689d-424b-bcd5-2fe77eca2dbb.png,other,100.0
77,other/,83ef7c2d-0555-42b3-bd1e-b4949cb5ed77.jpg,other,100.0
78,other/,2d327cbe-3289-4304-a7f7-8c972a776dbc.jpg,other,100.0
79,other/,8ac48b0b-972f-4036-b2d7-1e7995d783df.png,other,100.0
80,other/,50645916-48f8-4704-98e2-679c36f9b242.jpg,other,100.0
81,other/,806cd5eb-6101-4955-82c4-49c340290031.png,other,100.0
82,other/,9e3b82d1-e8e3-49e5-a1d1-db792bc3f1fa.jpg,other,100.0
83,other/,38805548-9a25-4c4d-8c3e-6d8c5cec1417.jpg,other,100.0
84,other/,d53524e6-b868-4fbd-afdd-838420db5190.jpg,other,100.0
85,other/,cbe466a3-0b6e-4bb1-80d1-08193d57db4e.png,other,100.0
